请问您的性别是？,您所在的城市属于哪个省（直辖市/自治区/特区）？,请问您的出生年代是？,请问您的学历是？,请问您是否有海外留学经历？（以学习为目的，在国外停留超过1个月）,请问未来1-3年内，您是否有留学或继续深造计划？（多选）,您是否考虑线上教学的方式继续深造？,请问您属于以下哪种身份？,请问您所从事的行业是？,请问您在单位的岗位职能是？,关于汽车，请问以下哪个描述符合您的情况？,请问您拥有什么类型的汽车？,请问您购买的车型品牌是？,请问您购买汽车的价格是在什么范围？（如果拥有多辆车，请以价格最高的一辆车为准）,请问您未来1年内是否有购置汽车的计划？,请问您对新能源纯电动汽车的尝试意愿如何？,请问您更愿意尝试以下哪个品牌的新能源纯电动汽车？,请问您和您家人每年旅行消费支出是（排除疫情年度影响）？,请问您常规每年开展几次出境游（排除疫情年度影响，个人+商务旅行）,请问在订购机票时，您一般选择什么舱位？,请问您在选择酒店时，通常预定什么等级的酒店？（最多选择两项）,请问您在选择酒店时，通常每个房间每晚消费多少？,请问您购买过哪些品类的奢侈品？（多选）,请问您购买奢侈品的主要用途是？（多选）,请问您拥有几块机械腕表类的奢侈品?,请问您拥有几件珠宝类的奢侈品?,请问您拥有几件包/鞋/服饰类的奢侈品？,请问您购买奢侈品时的考虑因素有哪些？（多选）,请问您对以下哪些品牌的腕表感兴趣？（多选）,请问您拥有何种品牌的机械腕表？（如有多块儿腕表，请多选）,请问您购买这块机械腕表的花费是多少？（若您有多块机械腕表，则填写最贵的那块机械腕表价格）,请问您未来是否会考虑购买机械腕表，计划在多长时间内购买机械腕表？,请问您计划花多少钱来购买机械腕表？,请问您用过哪些彩妆及肤护品？或者您购买过哪些送人？（多选）,请问您或您的家庭在未来1年内计划购买以下哪些电子产品？（多选）,请问您新购/更换手机的频率是？,请问您在购买手机时，主要考虑因素有哪些？（多选）,请问您的婚姻状况是？,请问您目前的家庭情况是？,请问您的子女处在哪个人生阶段？(如您有2个及以上孩子请多选),请问您是否有宠物？,请问您每个月在宠物身上的平均花费是多少？,请问您过去一年的个人平均月收入范围是？（包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您的家庭平均税前月收入范围是？（如未婚则仅包含个人；包括固定工资，奖金，福利，金融产品收益，资产收益等所有收入的总和）,请问过去一年您消费占比最高的三项是？,在闲暇时，您主要的消遣方式有哪些？（多选）,请问您平均每月网购次数？,请问您平均每月网购总金额范围？,请问您在消费时更看重以下哪点？,请问您经常使用的网购平台是？（多选）,请问您在消费时，是否容易受到他人影响？,设备,作答时长
男,山东,80后（80-84年出生）,硕士/MBA,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,政府机关/公务员/事业单位,,,有1辆汽车,"[""SUV（比如途观、奔驰GLK等）""]","[""丰田""]",20-50万元,,比较愿意尝试,荣威,"10,001-30,000元",1-2次,经济舱,"[""经济型/快捷型连锁"",""三星级/舒适型""]",800元以下/晚,"[""none""]",,,,,,"[""积家JAEGER-LECOULTRE""]",,,2-3年,5万-10万元,"[""兰蔻Lancome"",""圣罗兰YSL"",""资生堂"",""雅诗兰黛Estee Lauder"",""欧莱雅""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""品牌"",""外观/造型"",""性能/配置"",""价格"",""口碑""]",已婚,有两个及以上孩子,"[""小学""]",猫、狗都有,"1,000元以下",,"20,001-50,000元","[""育儿消费"",""餐饮消费"",""日用品消费""]","[""读书"",""电影、连续剧"",""逛商场、购物""]",6-10次,"3,000～5,000元",性价比高,"[""京东""]",否,android,267
男,上海,60后及以前（69年及之前出生）,大学本科,是,"[""none""]",否,企业高层管理人员,机械/制造/机电,,有2辆及以上汽车,"[""普通轿车（两厢、三厢）"",""MPV（比别克GL8等）""]","[""丰田"",""特斯拉""]",50-100万元,,非常愿意尝试,特斯拉,"50,001-80,000元",6-9次,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""机械腕表"",""服饰""]","[""自用""]",5块以上,,5件以上,"[""实用"",""款式/颜色"",""质量""]","[""欧米茄OMEGA"",""万国IWC"",""江诗丹顿VACHERON CONSTANTIN"",""积家JAEGER-LECOULTRE"",""百达翡丽PATEK PHILIPPE""]","[""欧米茄OMEGA"",""百达翡丽PATEK PHILIPPE"",""万国IWC"",""积家JAEGER-LECOULTRE""]",5万-10万元,不打算购买,,"[""香奈儿CHANEL"",""圣罗兰YSL"",""雅诗兰黛Estee Lauder"",""迪奥Dior""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均1-2年购买1部手机,"[""性能/配置"",""外观/造型"",""操作系统"",""售后服务""]",已婚,无子女,,无,,"50,001-80,000元","150,001-200,000元","[""旅游消费"",""餐饮消费"",""智能产品消费、电子产品消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""逛商场、购物""]",6-10次,"3,000～5,000元",质量品质,"[""亚马逊"",""淘宝/天猫"",""京东""]",否,android,1060
女,吉林,95后（95-99年出生）,大学本科,否,"[""在国内接受职业技能培训或考取职业资格证"",""在国内申请研究生""]",是,企业职员,计算机/互联网/电子,人事/行政/财务,没有汽车,,,,暂时无购车计划,比较愿意尝试,比亚迪,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",800元以下/晚,"[""珠宝"",""包"",""鞋"",""服饰""]","[""自用""]",,2件,2件,"[""实用"",""质量""]","[""other"",""无""]","[""other"",""无""]",,不打算购买,,"[""欧莱雅"",""other"",""makeup forever""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均3年以上购买1部手机,"[""价格"",""品牌"",""质量/耐用"",""性能/配置""]",未婚,,,无,,none,,"[""餐饮消费"",""服饰消费"",""学习消费""]","[""兴趣养成或技能提升类的活动/课程"",""玩游戏"",""读书"",""逛商场、购物"",""电影、连续剧""]",1-5次,"3,000元以下",质量品质,"[""淘宝/天猫"",""唯品会""]",是,android,507
男,广东,90后（90-94年出生）,硕士/MBA,否,"[""none""]",否,企业职员,计算机/互联网/电子,技术/研发,没有汽车,,,,暂时无购车计划,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""四星级/高档型""]",800元以下/晚,"[""机械腕表""]","[""自用""]",1块,,,"[""实用"",""质量"",""价格"",""折扣/优惠""]","[""浪琴LONGINES"",""天梭TISSOT"",""劳力士ROLEX""]","[""天梭TISSOT""]",1万元以下,1-2年,1万元以下,"[""none""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均1-2年购买1部手机,"[""操作系统"",""质量/耐用"",""价格"",""性能/配置"",""外观/造型"",""功能""]",未婚,,,无,,"10,001-30,000元",,"[""娱乐消费"",""兴趣消费"",""服饰消费""]","[""朋友聚会、咖啡吧、酒吧、live house等"",""电影、连续剧"",""健身、各类运动"",""兴趣养成或技能提升类的活动/课程"",""读书"",""看展、逛市集""]",1-5次,"3,000元以下",理念价值观,"[""淘宝/天猫"",""京东""]",是,android,228
男,广西,00后（2000年以后出生）,大学本科,否,"[""在国内申请研究生"",""在国内接受职业技能培训或考取职业资格证""]",是,学生,,,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,比较愿意尝试,蔚来,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""鞋""]","[""自用""]",,,2件,"[""质量"",""实用"",""折扣/优惠"",""款式/颜色""]","[""卡地亚CARTIER""]","[""卡地亚CARTIER""]",,不确定,,"[""欧莱雅""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）"",""摄影摄像（数码相机、单反相机、摄像机等）""]",平均1-2年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""口碑""]",未婚,,,无,,,,"[""餐饮消费"",""娱乐消费"",""服饰消费""]","[""电影、连续剧"",""兴趣养成或技能提升类的活动/课程"",""健身、各类运动"",""郊游/周边游"",""玩游戏""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""唯品会""]",否,android,282
男,广东,00后（2000年以后出生）,大学本科,否,"[""none""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,小鹏,"10,001-30,000元",很少,经济舱,"[""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""劳力士ROLEX"",""欧米茄OMEGA"",""万宝龙MONTBLANC"",""浪琴LONGINES"",""卡地亚CARTIER"",""宇舶HUBLOT"",""天梭TISSOT""]",,,3年以上,10万-20万元,"[""none""]","[""手机"",""智能设备（智能可穿戴设备、智能机器人、智能家居等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""口碑"",""功能"",""质量/耐用"",""外观/造型"",""操作系统""]",未婚,,,无,,,,"[""餐饮消费"",""服饰消费"",""娱乐消费""]","[""玩游戏"",""电影、连续剧"",""逛商场、购物""]",基本不网购,"3,000元以下",实用性强,"[""得物"",""京东"",""淘宝/天猫""]",是,android,343
男,广东,70后（70-79年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,自由职业者,机械/制造/机电,,有1辆汽车,"[""普通轿车（两厢、三厢）""]","[""本田""]",20万元以下,,非常愿意尝试,小鹏,"10,001-30,000元",很少,经济舱,"[""经济型/快捷型连锁"",""民宿/公寓""]",800元以下/晚,"[""none""]",,,,,,"[""other"",""智能表""]",,,不打算购买,,"[""欧莱雅""]","[""智能设备（智能可穿戴设备、智能机器人、智能家居等）"",""电脑整机（笔记本、一体机、平板电脑等）""]",平均1-2年购买1部手机,"[""品牌"",""质量/耐用"",""性能/配置"",""价格"",""功能"",""口碑""]",已婚,有两个及以上孩子,"[""初中""]",无,,"10,001-30,000元",none,"[""兴趣消费"",""娱乐消费"",""旅游消费""]","[""电影、连续剧"",""读书"",""玩游戏"",""健身、各类运动"",""郊游/周边游""]",10次以上,"3,000元以下",质量品质,"[""京东"",""淘宝/天猫"",""亚马逊""]",否,android,514
女,广东,70后（70-79年出生）,大学专科,否,"[""在国内接受职业技能培训或考取职业资格证""]",是,自由职业者,电商/零售/贸易,,没有汽车,,,,会增购或新购（增购即保留现有车辆再购买一辆）,比较愿意尝试,小鹏,"10,001-30,000元",1-2次,经济舱,"[""四星级/高档型"",""三星级/舒适型""]",不确定,"[""机械腕表""]","[""自用"",""送人""]",1块,,,"[""款式/颜色"",""品牌"",""实用"",""质量""]","[""浪琴LONGINES""]","[""天梭TISSOT"",""浪琴LONGINES""]",1-3万元,不确定,,"[""资生堂"",""雅诗兰黛Estee Lauder"",""ISPA"",""香奈儿CHANEL"",""植村秀"",""兰蔻Lancome""]","[""手机"",""电脑整机（笔记本、一体机、平板电脑等）"",""学习设备""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""操作系统"",""质量/耐用"",""价格"",""功能""]",已婚,有一个孩子,"[""初中""]",无,,"10,001-30,000元","20,001-50,000元","[""学习消费"",""餐饮消费"",""汽车相关消费（私家车）""]","[""电影、连续剧"",""逛商场、购物"",""郊游/周边游"",""看展、逛市集""]",6-10次,"3,000～5,000元",质量品质,"[""淘宝/天猫"",""京东""]",否,android,564
男,陕西,00后（2000年以后出生）,大学专科,否,"[""在国内申请研究生""]",否,学生,,,没有汽车,,,,暂时无购车计划,非常愿意尝试,特斯拉,"10,000元及以下",很少,经济舱,"[""经济型/快捷型连锁""]",不确定,"[""none""]",,,,,,,,,不打算购买,,"[""none""]","[""电脑整机（笔记本、一体机、平板电脑等）""]",平均3年以上购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""价格"",""口碑""]",未婚,,,无,,,,"[""学习消费"",""日用品消费"",""兴趣消费""]","[""看展、逛市集"",""兴趣养成或技能提升类的活动/课程"",""读书"",""玩游戏""]",基本不网购,"3,000元以下",外观颜值,"[""拼多多"",""京东"",""淘宝/天猫"",""得物""]",是,android,216
女,河北,00后（2000年以后出生）,高中及以下,否,"[""none""]",是,学生,,,没有汽车,,,,暂时无购车计划,比较愿意尝试,北汽新能源,"10,000元及以下",很少,经济舱,"[""民宿/公寓""]","801-1,500元/晚","[""鞋"",""服饰""]","[""自用""]",,,2件,"[""朋友推荐"",""定制/限量"",""实用"",""价格"",""质量"",""折扣/优惠""]","[""香奈儿CHANEL"",""劳力士ROLEX"",""宝格丽BVLGARI""]","[""other"",""无""]",,3年以上,1万元以下,"[""兰蔻Lancome"",""莱珀妮La Prairie"",""欧莱雅"",""雅诗兰黛Estee Lauder"",""资生堂"",""娇韵诗""]","[""摄影摄像（数码相机、单反相机、摄像机等）""]",平均2-3年购买1部手机,"[""品牌"",""性能/配置"",""外观/造型"",""操作系统"",""质量/耐用"",""价格"",""功能"",""口碑"",""售后服务""]",未婚,,,无,,,,"[""学习消费"",""日用品消费"",""兴趣消费""]","[""读书"",""电影、连续剧"",""话剧、戏剧、脱口秀等"",""兴趣养成或技能提升类的活动/课程"",""逛商场、购物""]",1-5次,"3,000元以下",性价比高,"[""淘宝/天猫"",""京东""]",否,android,304
